"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","346","Assert status code of create with wrong ingredient hesh","tests","Sat Feb 22 21:53:50 MSK 2025","passed","Sat Feb 22 21:53:51 MSK 2025","TestCreateOrder","test_create_order","",""
"","413","Assert status code when try to login with existing user","tests","Sat Feb 22 21:54:01 MSK 2025","passed","Sat Feb 22 21:54:01 MSK 2025","TestLoginUser","test_login_user","",""
"","347","Assert status code of create order when unauthorized","tests","Sat Feb 22 21:53:47 MSK 2025","failed","Sat Feb 22 21:53:48 MSK 2025","TestCreateOrder","test_create_order","",""
"","347","Assert status code when user get orders while being unauthorized","tests","Sat Feb 22 21:53:59 MSK 2025","passed","Sat Feb 22 21:54:00 MSK 2025","TestGetOrders","test_get_orders","",""
"","340","Assert status code when creating user with missing required filed ","tests","Sat Feb 22 21:53:55 MSK 2025","passed","Sat Feb 22 21:53:55 MSK 2025","TestCreateUser","test_create_user","",""
"","3022","Assert status code when user get orders while being authorized","tests","Sat Feb 22 21:53:56 MSK 2025","passed","Sat Feb 22 21:53:59 MSK 2025","TestGetOrders","test_get_orders","",""
"","348","Assert status code when try to login with incorrect credentials","tests","Sat Feb 22 21:54:01 MSK 2025","passed","Sat Feb 22 21:54:02 MSK 2025","TestLoginUser","test_login_user","",""
"","1186","Assert status code of successful user creation","tests","Sat Feb 22 21:53:52 MSK 2025","passed","Sat Feb 22 21:53:53 MSK 2025","TestCreateUser","test_create_user","",""
"","361","Assert status code when try to update with authorized user","tests","Sat Feb 22 21:54:03 MSK 2025","passed","Sat Feb 22 21:54:03 MSK 2025","TestUserUpdate","test_user_update","",""
"","2155","Assert status code of successful order creation","tests","Sat Feb 22 21:53:45 MSK 2025","passed","Sat Feb 22 21:53:47 MSK 2025","TestCreateOrder","test_create_order","",""
"","1539","Assert status code of when trying to create already registered user","tests","Sat Feb 22 21:53:53 MSK 2025","passed","Sat Feb 22 21:53:54 MSK 2025","TestCreateUser","test_create_user","",""
"","2226","Assert status code of create order with ingredients","tests","Sat Feb 22 21:53:48 MSK 2025","passed","Sat Feb 22 21:53:50 MSK 2025","TestCreateOrder","test_create_order","",""
"","348","Assert status code when try to update with unauthorized user","tests","Sat Feb 22 21:54:03 MSK 2025","passed","Sat Feb 22 21:54:03 MSK 2025","TestUserUpdate","test_user_update","",""
"","365","Assert status code of create order without ingredients","tests","Sat Feb 22 21:53:50 MSK 2025","passed","Sat Feb 22 21:53:50 MSK 2025","TestCreateOrder","test_create_order","",""
